class	comparator	pvalue	effect_median_diff
TF	RBP	6.711152634241654e-29	-11.998361998361997
PME	RBP	2.454864846790986e-132	-21.60875160875161
Random	RBP	5.771494417061605e-176	-22.487872487872487
