NAME	REP_Q2	REP_N2	REP_S2	REP_G2	REP_E2	REP_D2	REP_K2	REP_R2	REP_P2	REP_QN2	REP_RG2	REP_PR	REP_FG2	REP_SG2	REP_SR2	REP_KAP2	REP_PTS2	CLV_C14_Caspase3-7	DEG_APCC_KENBOX_2	DEG_Kelch_Keap1_1	DEG_SCF_TRCP1_1	DOC_ANK_TNKS_1	DOC_CYCLIN_RxL_1	DOC_MAPK_gen_1	DOC_MAPK_JIP1_4	DOC_MAPK_MEF2A_6	DOC_MAPK_NFAT4_5	DOC_PP1_RVXF_1	DOC_PP2A_B56_1	DOC_PP4_FxxP_1	DOC_WW_Pin1_4	LIG_14-3-3_CanoR_1	LIG_CaM_IQ_9	LIG_CtBP_PxDLS_1	LIG_EF_ALG2_ABM_1	LIG_EH_1	LIG_HCF-1_HBM_1	LIG_HOMEOBOX	LIG_KEPE_2	LIG_KLC1_WD_1	LIG_LIR_Gen_1	LIG_PAM2_1	LIG_PCNA_PIPBox_1	LIG_PDZ_Class_1	LIG_PDZ_Wminus1_1	LIG_PTAP_UEV_1	LIG_PTB_Apo_2	LIG_PTB_Phospho_1	LIG_Rb_LxCxE_1	LIG_SH2_CRK	LIG_SH2_GRB2like	LIG_SH2_NCK_1	LIG_SH2_SRC	LIG_SH2_STAP1	LIG_SH2_STAT5	LIG_SH3_2	LIG_SUMO_SIM_anti_2	LIG_SUMO_SIM_par_1	LIG_WRPW_1	MOD_CDK_SPK_2	MOD_CDK_SPxK_1	MOD_CDK_SPxxK_3	MOD_CK1_1	MOD_CK2_1	MOD_DYRK1A_RPxSP_1	MOD_GSK3_1	MOD_N-GLC_1	MOD_NMyristoyl	MOD_PIKK_1	MOD_PKA_1	MOD_PKA_2	MOD_PKB_1	MOD_Plk_1	MOD_ProDKin_1	MOD_SUMO_for_1	MOD_SUMO_rev_2	TRG_ER_diArg_1	TRG_ER_FFAT_1	TRG_LysEnd_APsAcLL_1	TRG_NES_CRM1_1	TRG_NLS_MonoExtN_4	A_homorep	C_homorep	D_homorep	E_homorep	G_homorep	H_homorep	I_homorep	K_homorep	L_homorep	M_homorep	N_homorep	P_homorep	Q_homorep	R_homorep	S_homorep	T_homorep	V_homorep	Y_homorep	FG_rich	PY	FRG	SGFYSG	PG_rich	ELASTIN_LIKE	FGxF	R_plus_Y	REP_RGG	AA_S	AA_P	AA_T	AA_A	AA_H	AA_Q	AA_N	AA_G	AA_R	AA_C	AA_D	AA_E	AA_F	AA_I	AA_K	AA_L	AA_M	AA_V	AA_W	AA_Y	acidic	basic	aliphatic	polar_fraction	chain_expanding	aromatic	disorder_promoting	net_charge	WF_complexity	KL_hydropathy	isoelectric_point	FCR	ED_ratio	RK_ratio	SCD	kappa*	omega*	aromatic_spacing*	omega_aromatic*	aromatic_spacing*__missing	omega_aromatic*__missing
Q9NQB0	-0.33333333333333337	-0.3333333333333333	2.836832573067901	0.0	1.9999999999999998	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	2.288585537482975	2.711630722733202	-0.6546536707079772	1.8257418583505538	-0.46852128566581824	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.8164965809277263	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	2.9999999999999996	1.9999999999999998	0.0	1.5275252316519463	1.2247448713915892	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	1.9999999999999998	2.6549539521063035	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12038585308576918	0.0	2.0730699572419273	-1.2403473458920844	-0.9045340337332909	1.4615384615384615	-0.6546536707079772	-0.12038585308576931	1.3764944032233706	0.5423261445466404	0.26726124191242434	-1.0	-0.3764734830828952	1.236050945384795	-0.6546536707079771	-0.8374036143210799	1.4411533842457844	-0.7500000000000001	-1.0125791108334217	1.2909944487358056	-0.6030226891555273	-0.3333333333333333	0.4418604651162792	1.6903085094570331	-0.4818998735750601	1.6064386578049978	0.34987766112624463	-0.9801960588196068	0.8995994542229384	0.02557385846437813	-0.06643118106039872	-2.024810805248826	0.20404692690176435	1.1972232174101998	0.8642977615964007	-0.668489236900431	-0.3503023053272075	-0.3217725062324489	0.07412563785742947	0.0	0.0	1	1
O15169	-0.33333333333333337	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	-0.6965260331469924	-0.5423261445466404	-0.6546536707079772	-0.9128709291752769	-0.46852128566581824	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.8164965809277263	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	-0.6546536707079771	-0.8164965809277263	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3242443839434614	0.0	-1.200198396297958	-0.6201736729460422	0.6030226891555273	-0.8461538461538461	1.5275252316519468	-0.12038585308576931	-0.9176629354822472	-1.6269784336399213	1.6035674514745464	-1.0	-1.317657190790133	-0.757579611687455	-1.382046638161285	-0.8374036143210799	-0.960768922830523	-1.375	-1.0125791108334217	1.2909944487358056	-0.6030226891555273	-0.3333333333333333	-1.4186046511627908	0.0	-1.8587566552180885	-1.6064386578049978	-1.3074375757875456	-1.6803361008336117	-1.381075218454933	1.5600053663270714	-1.621080846771088	-0.98018801712499	2.413228943591697	0.07714945542675132	0.7728390534887974	1.5333714800425216	-1.3333444148199187	2.1788214526699776	0.8629145524183073	0.0	0.0	1	1
Q12778	-0.33333333333333337	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	-0.6965260331469924	-0.5423261445466404	-0.6546536707079772	0.0	2.6549539521063035	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.8164965809277263	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	-0.6546536707079771	-0.8164965809277263	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3242443839434614	0.0	-0.6546536707079772	-0.6201736729460422	0.6030226891555273	-0.8461538461538461	-0.6546536707079772	-1.3242443839434614	0.22941573387056172	0.5423261445466404	1.6035674514745464	1.0	1.1921660297625012	-0.757579611687455	0.8001322641986388	0.4509096384805817	-0.16012815380508713	0.4999999999999999	0.6750527405556144	-1.2909944487358056	-0.6030226891555273	-0.3333333333333333	0.4418604651162792	0.8451542547285166	0.20652851724645413	-0.40160966445124946	0.34987766112624463	0.42008402520840304	-0.1140337336338934	-0.2301647261794041	0.06775023695200623	0.17731424153020722	-0.3371071694055678	0.9744193555670067	-1.5079245843524538	0.6815754805536799	0.5660707943489501	0.5308266022990128	1.267584625729877	0.6193208944397002	0.08656715909833473	0	0
P04637	-0.33333333333333337	2.9999999999999996	-0.4364357804719847	0.0	-0.49999999999999994	2.9999999999999996	0.0	0.0	0.0	2.0	0.0	0.0	0.0	-0.6965260331469924	-0.5423261445466404	-0.6546536707079772	1.8257418583505538	-0.46852128566581824	0.0	0.0	0.0	0.0	2.0	0.0	0.0	-0.8164965809277263	0.0	0.0	0.0	0.0	2.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	1.5275252316519463	-0.8164965809277263	0.0	2.0	0.0	0.0	0.0	-0.33333333333333337	2.9999999999999996	-0.49999999999999994	-0.46852128566581824	0.0	0.0	2.9999999999999996	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0834726777719228	0.0	0.4364357804719846	1.2403473458920844	2.1105794120443453	-0.07692307692307698	-0.6546536707079772	1.0834726777719228	0.22941573387056172	-1.6269784336399213	-1.0690449676496976	-1.0	-0.06274558051381592	-0.358853500273005	0.07273929674533086	-0.8374036143210799	-0.16012815380508713	1.7499999999999998	0.11250879009260238	0.0	2.412090756622109	-0.3333333333333333	-0.25581395348837205	-0.8451542547285166	0.5507427126572112	0.40160966445124946	-0.01841461374348649	1.120224067222408	0.13937456333031456	0.02557385846437813	0.8650238057531595	0.3717017770293813	-0.6968154804804415	-1.036031544944493	-0.37634485456001804	-0.668489236900431	-0.5171090279359888	-0.5654694796070198	0.5797451808923925	1.3240306140734084	2.205096383004375	0	0
O43524	-0.33333333333333337	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	0.2985111570629968	0.5423261445466404	-0.6546536707079772	0.0	-0.46852128566581824	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	1.2247448713915892	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	1.5275252316519463	1.2247448713915892	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12038585308576918	0.0	0.4364357804719846	0.0	-0.9045340337332909	-0.07692307692307698	1.5275252316519468	-1.3242443839434614	0.22941573387056172	0.5423261445466404	0.26726124191242434	1.0	-0.3764734830828952	0.03987261114144504	0.07273929674533086	-0.19324698792024914	-0.16012815380508713	0.4999999999999999	1.2375966910186265	0.0	-0.6030226891555273	-0.3333333333333333	-0.25581395348837205	0.0	0.8949569080679683	0.40160966445124946	-0.20256075117835207	-0.2800560168056019	-0.1140337336338934	0.28131244310816034	1.1686737284482789	0.9706866247884647	0.1690310736112899	-0.49802355748366833	0.19824709946438965	0.18330676258841047	-0.537462737258722	-0.5989464422749362	-0.5471494207624599	-0.8072924471619444	-1.070926457586264	0	0
A8MYZ6	-0.33333333333333337	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	1.293548347272986	-0.5423261445466404	1.5275252316519468	-0.9128709291752769	1.0932163332202425	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	1.2247448713915892	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	-0.6546536707079771	-0.8164965809277263	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12038585308576918	0.0	0.4364357804719846	-0.6201736729460422	-0.9045340337332909	-0.07692307692307698	-0.6546536707079772	-1.3242443839434614	0.22941573387056172	-0.5423261445466404	0.26726124191242434	1.0	1.5058939323315805	-0.358853500273005	2.2549181991052545	-0.19324698792024914	-0.960768922830523	-0.1250000000000001	0.6750527405556144	0.0	-0.6030226891555273	-0.3333333333333333	0.9069767441860467	-0.8451542547285166	0.20652851724645413	-0.40160966445124946	0.34987766112624463	1.820364109236413	0.012670414848210578	-1.253119064754533	-0.20496298129595714	0.5541712606691979	-1.1138224605760916	0.7101347301476545	-1.235310888413448	1.035102762077252	1.0929380859886628	-1.0904887181090528	-1.0269520615104057	-1.7950947042862488	-0.5076799623740977	0	0
P98177	-0.33333333333333337	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	-0.6965260331469924	-0.5423261445466404	-0.6546536707079772	-0.9128709291752769	-0.46852128566581824	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	1.2247448713915892	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	-0.6546536707079771	-0.8164965809277263	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	2.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3242443839434614	0.0	-1.200198396297958	-0.6201736729460422	-0.9045340337332909	-0.8461538461538461	-0.6546536707079772	1.0834726777719228	1.3764944032233706	0.5423261445466404	0.26726124191242434	1.0	1.1921660297625012	0.03987261114144504	0.07273929674533086	-0.19324698792024914	-0.960768922830523	0.4999999999999999	1.8001406414816385	-1.2909944487358056	-0.6030226891555273	2.9999999999999996	0.9069767441860467	-0.8451542547285166	0.5507427126572112	0.0	0.34987766112624463	0.42008402520840304	-0.1140337336338934	-1.253119064754533	0.005007014101635516	-0.7079093345062009	-1.078806607285617	0.7101347301476545	-0.7840243338600316	1.035102762077252	1.5978302231991914	1.1211812372862837	1.4116690302773078	0.7220929575971247	0.1699520564698062	0	0
Q9UJU2	-0.33333333333333337	-0.3333333333333333	0.6546536707079771	0.0	1.9999999999999998	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	0.2985111570629968	0.5423261445466404	1.5275252316519468	0.0	-0.46852128566581824	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.8164965809277263	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	1.9999999999999998	0.0	-0.6546536707079771	1.2247448713915892	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	1.9999999999999998	1.0932163332202425	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0834726777719228	0.0	0.4364357804719846	1.8605210188381267	0.6030226891555273	2.230769230769231	1.5275252316519468	-0.12038585308576931	-0.9176629354822472	1.6269784336399213	-1.0690449676496976	1.0	0.2509823220552634	2.432229279628145	0.07273929674533086	2.3833795176830743	2.2417941532712202	-0.7500000000000001	-0.45003516037040964	0.0	-0.6030226891555273	-0.3333333333333333	1.6046511627906979	1.6903085094570331	1.5833852988894825	1.2048289933537484	2.1913390354749005	-0.2800560168056019	2.293345087526082	-1.253119064754533	1.5949327503563129	-0.6280789354137817	0.016234622889219674	0.8653495101558442	0.8387634108511786	-1.794502299737392	1.3178069746207268	-0.06557612653784028	-0.051031415579979075	-0.5141735154969341	-0.8331021765159997	0	0
O15409	3.0	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	2.0	0.0	0.0	0.0	-0.6965260331469924	-0.5423261445466404	1.5275252316519468	0.0	-0.46852128566581824	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.8164965809277263	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	-0.6546536707079771	-0.8164965809277263	0.0	-0.5	0.0	0.0	0.0	-0.33333333333333337	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0834726777719228	0.0	-1.200198396297958	-0.6201736729460422	0.6030226891555273	-0.07692307692307698	-0.6546536707079772	1.0834726777719228	-2.064741604835056	-0.5423261445466404	-1.0690449676496976	-1.0	-1.6313850933592124	-0.757579611687455	-1.382046638161285	-0.8374036143210799	-0.16012815380508713	-1.375	-1.0125791108334217	1.2909944487358056	0.9045340337332908	-0.3333333333333333	-1.6511627906976745	-0.8451542547285166	-1.5145424598073314	-1.6064386578049978	-1.6757298506572766	-0.9801960588196068	-1.381075218454933	1.5600053663270714	-1.621080846771088	1.2992549855317834	0.9234635490515117	-1.6253626627880915	1.7551104868132184	-0.668489236900431	-1.0800059860552254	-1.3126404163807788	-1.856772923534955	0.0	0.0	1	1
Q08050	-0.33333333333333337	-0.3333333333333333	-0.4364357804719847	0.0	-0.49999999999999994	-0.3333333333333333	0.0	0.0	0.0	-0.5	0.0	0.0	0.0	-0.6965260331469924	-0.5423261445466404	-0.6546536707079772	-0.9128709291752769	-0.46852128566581824	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.2247448713915892	0.0	0.0	0.0	0.0	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	0.0	0.0	-0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	-0.3333333333333333	-0.49999999999999994	0.0	-0.6546536707079771	1.2247448713915892	0.0	2.0	0.0	0.0	0.0	3.0	-0.3333333333333333	-0.49999999999999994	-0.46852128566581824	0.0	0.0	-0.3333333333333333	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0834726777719228	0.0	0.4364357804719846	1.2403473458920844	-0.9045340337332909	-0.8461538461538461	-0.6546536707079772	1.0834726777719228	0.22941573387056172	0.5423261445466404	-1.0690449676496976	-1.0	-0.3764734830828952	-0.757579611687455	0.07273929674533086	1.0950662648814125	-0.16012815380508713	1.1249999999999998	-1.0125791108334217	-1.2909944487358056	0.9045340337332908	-0.3333333333333333	-0.7209302325581395	-0.8451542547285166	-0.13768567816430297	0.40160966445124946	-0.3867068886132176	0.42008402520840304	-0.24073788211599736	0.5370510277519426	-0.18783167971287398	0.9678582027447634	-0.4994533982977674	-1.3749932336388508	-0.5256531510280329	-0.668489236900431	-0.7564216067604683	0.1240643968868018	-0.7141332057875146	0.4511162008348941	-0.04990700209615452	0	0
